taxa,full_taxa_name,stressor,source,median,lower_95,upper_95,weight,allocation,production,,
salmon,salmon,P,total on- and off-farm,15.63453805,12.63526992,18.74303595,live,economic,aquaculture,,
shrimp,shrimp,P,total on- and off-farm,13.69052783,11.87843524,15.54936467,live,economic,aquaculture,,
tilapia,tilapia,P,total on- and off-farm,9.126466813,7.550729049,10.64817967,live,economic,aquaculture,,
trout,trout,P,total on- and off-farm,13.70762033,10.32731276,17.09069864,live,economic,aquaculture,,
bivalves,bivalves,Water,total on- and off-farm,0,0,0,live,economic,aquaculture,,
catfish,catfish,Water,total on- and off-farm,1080.646521,675.4623637,1513.159769,live,economic,aquaculture,,
hypoph_carp,silver/bighead,Water,total on- and off-farm,4998.148016,4036.169841,6003.471541,live,economic,aquaculture,,
oth_carp,misc carps,Water,total on- and off-farm,1858.022891,1304.961977,2398.863209,live,economic,aquaculture,,
plants,plants,Water,total on- and off-farm,0,0,0,live,economic,aquaculture,,
tilapia,tilapia,Water,total on- and off-farm,444.5807067,49.22802378,851.644341,live,economic,aquaculture,,
trout,trout,Water,total on- and off-farm,46.07406891,0,555.6635292,live,economic,aquaculture,,
milkfish,milkfish,Water,total on- and off-farm,113.5987985,80.77488768,153.5488507,live,economic,aquaculture,,
misc_diad,misc diadromous fishes,Water,total on- and off-farm,80.69669684,33.32150768,177.4761744,live,economic,aquaculture,,
misc_marine,misc marine fishes,Water,total on- and off-farm,130.7362478,95.99279989,175.0867967,live,economic,aquaculture,,
salmon,salmon,Water,total on- and off-farm,51.38788826,44.18326786,58.87560846,live,economic,aquaculture,,
shrimp,shrimp,Water,total on- and off-farm,104.3165581,93.53959838,115.1477612,live,economic,aquaculture,,
bivalves,bivalves,Land,total on- and off-farm,0,0,0,live,economic,aquaculture,,
catfish,catfish,Land,total on- and off-farm,4872.49639,3114.007314,6695.256969,live,economic,aquaculture,,
hypoph_carp,silver/bighead,Land,total on- and off-farm,4006.654179,34.25486134,7970.385845,live,economic,aquaculture,,
milkfish,milkfish,Land,total on- and off-farm,9827.050375,4031.401177,15601.87253,live,economic,aquaculture,,
misc_diad,misc diadromous fishes,Land,total on- and off-farm,2365.479407,-5785.848208,10764.75352,live,economic,aquaculture,,
misc_marine,misc marine fishes,Land,total on- and off-farm,3784.337962,469.9541076,7177.815455,live,economic,aquaculture,,
oth_carp,misc carps,Land,total on- and off-farm,5167.807616,3026.647307,7363.223905,live,economic,aquaculture,,
plants,plants,Land,total on- and off-farm,0,0,0,live,economic,aquaculture,,
salmon,salmon,Land,total on- and off-farm,2056.520959,152.0242915,3956.269012,live,economic,aquaculture,,
shrimp,shrimp,Land,total on- and off-farm,7148.823583,5804.20606,8564.903601,live,economic,aquaculture,,
tilapia,tilapia,Land,total on- and off-farm,5371.840674,3758.609406,6999.866011,live,economic,aquaculture,,
trout,trout,Land,total on- and off-farm,1804.956877,-275.4783105,3906.837732,live,economic,aquaculture,,
Bivalves,Bivalves,GHG,all,3394.123104,1651.080787,5715.40384,live,mass,capture,,Carp & catfish
Cephalopods,Cephalopods,GHG,all,4258.387731,1594.695133,7514.903807,live,mass,capture,,Carp & catfish
Flatfishes,Flatfishes,GHG,all,10997.62358,9523.407426,12413.39246,live,mass,capture,,Carp & catfish
Gadiformes,Gadiformes,GHG,all,2056.314887,1225.870969,3452.206783,live,mass,capture,,Carp & catfish
"Jacks, mullets, sauries","Jacks, mullets, sauries",GHG,all,5119.094327,3022.135914,7215.677723,live,mass,capture,,Trout & salmon
Large pelagic fishes,Large pelagic fishes,GHG,all,3852.746011,2324.891963,6456.029344,live,mass,capture,,Trout & salmon
Lobsters,Lobsters,GHG,all,6877.38115,5103.410521,8832.31965,live,mass,capture,,Sea bream
"Redfishes, basses, congers","Redfishes, basses, congers",GHG,all,3861.995217,1261.588518,7217.442816,live,mass,capture,,Tambaqui
Salmonids,Salmonids,GHG,all,2859.388065,815.4082611,6587.517927,live,mass,capture,,Tilapia
Shrimps,Shrimps,GHG,all,7147.398345,5975.749181,8346.388546,live,mass,capture,,Tilapia
Small pelagic fishes,Small pelagic fishes,GHG,all,1408.212134,746.9156554,2260.869924,live,mass,capture,,Other farmed fish
Bivalves,Bivalves,GHG,all,11400.04939,6535.310906,18280.13332,edible,mass,capture,,Trout & salmon
Cephalopods,Cephalopods,GHG,all,8184.950304,2475.364399,16367.93182,edible,mass,capture,,
Flatfishes,Flatfishes,GHG,all,20313.31444,15956.19492,24745.63049,edible,mass,capture,,
Gadiformes,Gadiformes,GHG,all,5125.038766,2732.07545,9416.2172,edible,mass,capture,,
"Jacks, mullets, sauries","Jacks, mullets, sauries",GHG,all,9665.174349,3003.289607,16260.7207,edible,mass,capture,,
Large pelagic fishes,Large pelagic fishes,GHG,all,7629.053804,3632.497746,14639.923,edible,mass,capture,,
Lobsters,Lobsters,GHG,all,19444.95157,14561.42102,24980.80327,edible,mass,capture,,
"Redfishes, basses, congers","Redfishes, basses, congers",GHG,all,9914.649563,2921.63385,20311.45087,edible,mass,capture,,
Salmonids,Salmonids,GHG,all,6881.338695,1673.84994,16900.33849,edible,mass,capture,,
