,count (lca observations),LCA_Category,Product_details,LCA_sub_category,LCA_sub_sub_category,Search_terms,Search_order,Average_of_original_category,Search_terms_sub,Search_order_sub,Average_of_sub_category
74,2,Onions & Leeks,Leeks,Leeks,,\bleek,1,yes,,,
75,10,Onions & Leeks,Onions,Onions,,,2,,,,
77,1,Other Fruit,Canary melon,Melon,,\bmelon(s)?\b|watermelon|canteloupe|honeydew|gac fruit,1,,,,
80,1,Other Fruit,Melon,Melon,,\bmelon(s)?\b|watermelon|canteloupe|honeydew|gac fruit,1,,,,
85,3,Other Fruit,Watermelon,Melon,,\bmelon(s)?\b|watermelon|canteloupe|honeydew|gac fruit,1,,,,
76,1,Other Fruit,Avocado,Avocado,,\bavocado,4,yes,,,
79,4,Other Fruit,Kiwi,Kiwi,,\bkiwi,5,yes,,,
81,1,Other Fruit,Nectarines,"Peaches, apricots, nectarines, and plums",,\bpeach(es)?\b|\bplum(s)\b|\bapricot(s)?\b|\bprune(s)?\b|plum jam|plum juice|plum paste|plum pur|peach1|\bplum|\bcherr(y|ies)\b|\bnectarine\b|dried plum|acidpeach,2,,,,
82,2,Other Fruit,Peach / Nectarine,"Peaches, apricots, nectarines, and plums",,\bpeach(es)?\b|\bplum(s)\b|\bapricot(s)?\b|\bprune(s)?\b|plum jam|plum juice|plum paste|plum pur|peach1|\bplum|\bcherr(y|ies)\b|\bnectarine\b|dried plum|acidpeach,2,,,,
83,7,Other Fruit,Peaches,"Peaches, apricots, nectarines, and plums",,\bpeach(es)?\b|\bplum(s)\b|\bapricot(s)?\b|\bprune(s)?\b|plum jam|plum juice|plum paste|plum pur|peach1|\bplum|\bcherr(y|ies)\b|\bnectarine\b|dried plum|acidpeach,2,,,,
78,3,Other Fruit,Chinese pear,Pear,,\bpear(s)?\b,3,,,,
84,1,Other Fruit,Pears,Pear,,\bpear(s)?\b,3,,,,
0,0,Other Fruit,Other Fruit,Other Fruit,,,6,yes,,,
90,2,Other Pulses,Lupins,Lupins,,\blupin\b,2,yes,,,
86,2,Other Pulses,Chickpeas,Other Dry Pulses,Dry Beans,\blentil(s)?\b|\bbean(s)?\b|\bchickpea(s)?\b|\bdal(s)?\b|\bdhal(s)?\b|\bhoumous\b|\bmixed pulse(s)?\b|\bfalafel(s)?\b|butterbean(s)?|chickpeaschickpeas|cornflourchickpeas|waterchickpeas|\bblack-eyed pea(s)?\b,3,,,2,
87,3,Other Pulses,Faba beans,Other Dry Pulses,Dry Beans,\blentil(s)?\b|\bbean(s)?\b|\bchickpea(s)?\b|\bdal(s)?\b|\bdhal(s)?\b|\bhoumous\b|\bmixed pulse(s)?\b|\bfalafel(s)?\b|butterbean(s)?|chickpeaschickpeas|cornflourchickpeas|waterchickpeas|\bblack-eyed pea(s)?\b,3,,,2,
